test_id,interval_start_utc,interval_end_utc,p_sched_kw,p_actual_mean_kw,p_actual_median_kw,tracking_error_kw,steady_tracking_error_kw,abs_tracking_error_kw,steady_abs_tracking_error_kw,relative_tracking_error,sign_aware_actual_kw,shortfall_kw,steady_shortfall_kw,shortfall_kwh,steady_shortfall_kwh,requested_kwh_abs,delivered_ratio,direction,actual_sample_count,steady_sample_count,interval_usable
1,2022-10-06 16:00:00+00:00,2022-10-06 16:15:00+00:00,-2520.0,,,,,,,,,,,,,630.0,,charge,0,0,False
1,2022-10-06 16:15:00+00:00,2022-10-06 16:30:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-06 16:30:00+00:00,2022-10-06 16:45:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-06 16:45:00+00:00,2022-10-06 17:00:00+00:00,2419.205075625934,,,,,,,,,,,,,604.8012689064835,,discharge,0,0,False
1,2022-10-06 17:00:00+00:00,2022-10-06 17:15:00+00:00,-1864.725002027818,,,,,,,,,,,,,466.1812505069545,,charge,0,0,False
1,2022-10-06 17:15:00+00:00,2022-10-06 17:30:00+00:00,2419.205075625936,,,,,,,,,,,,,604.801268906484,,discharge,0,0,False
1,2022-10-06 17:30:00+00:00,2022-10-06 17:45:00+00:00,2419.205075625936,,,,,,,,,,,,,604.801268906484,,discharge,0,0,False
1,2022-10-06 17:45:00+00:00,2022-10-06 18:00:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-06 18:00:00+00:00,2022-10-06 18:15:00+00:00,2419.205075625934,,,,,,,,,,,,,604.8012689064835,,discharge,0,0,False
1,2022-10-06 18:15:00+00:00,2022-10-06 18:30:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-06 18:30:00+00:00,2022-10-06 18:45:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-06 18:45:00+00:00,2022-10-06 19:00:00+00:00,-2520.0,,,,,,,,,,,,,630.0,,charge,0,0,False
1,2022-10-06 19:00:00+00:00,2022-10-06 19:15:00+00:00,2313.788942691593,,,,,,,,,,,,,578.4472356728983,,discharge,0,0,False
1,2022-10-06 19:15:00+00:00,2022-10-06 19:30:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-06 19:30:00+00:00,2022-10-06 19:45:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-06 19:45:00+00:00,2022-10-06 20:00:00+00:00,-2520.0,,,,,,,,,,,,,630.0,,charge,0,0,False
1,2022-10-06 20:00:00+00:00,2022-10-06 20:15:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
