session_id,charging_minutes,work_energy_kwh,n_events,gap_energy_kwh,max_duration_min,has_event
2_39_123_557_2019-03-28 16:09:57.003048,28,43.263466666666666,0.0,0.0,0.0,False
2_39_123_557_2019-04-14 20:27:08.112987,112,688.2007825980392,0.0,0.0,0.0,False
2_39_123_557_2019-04-23 16:26:13.616051,156,990.6979386904761,0.0,0.0,0.0,False
2_39_123_557_2019-05-13 14:39:15.536849,88,533.1206814728572,0.0,0.0,0.0,False
2_39_123_557_2019-05-16 21:11:16.998451,131,806.9043041666666,1.0,0.17778562499999997,5.0,True
2_39_123_557_2019-08-07 16:24:59.542260,85,475.45769583333333,1.0,0.07871347222222222,8.0,True
2_39_123_557_2019-08-14 17:20:16.383945,109,677.3313801948052,1.0,0.6282411805555556,7.0,True
2_39_123_557_2019-08-20 16:12:09.747366,48,280.83170213278294,1.0,0.540858112745098,6.0,True
2_39_123_557_2019-08-28 20:21:24.449642,21,105.90515269607843,1.0,0.536696111111111,6.0,True
2_39_123_557_2019-10-02 19:34:04.688281,132,401.55837647058826,1.0,0.5801452083333333,19.0,True
2_39_123_557_2019-10-04 19:30:43.415209,42,205.18394166666667,1.0,0.05942048611111111,5.0,True
2_39_123_557_2019-10-29 20:13:13.225837,31,55.26914089267286,0.0,0.0,0.0,False
2_39_123_557_2019-10-29 20:46:40.593167,31,53.7142149923533,0.0,0.0,0.0,False
2_39_123_557_2019-10-29 22:24:22.341336,117,345.88327256707413,2.0,0.7956295819716777,16.0,True
2_39_123_557_2019-10-30 20:44:28.592223,126,800.4968069534912,1.0,0.6291800017460466,7.0,True
2_39_124_22_2018-11-02 15:46:31.957846,119,801.884418837535,0.0,0.0,0.0,False
2_39_124_22_2018-11-05 16:22:28.287145,321,2173.4278167139664,0.0,0.0,0.0,False
2_39_124_22_2018-11-06 16:58:43.086837,131,847.808187556561,1.0,0.5674888194444444,7.0,True
2_39_124_22_2018-11-07 17:38:39.136481,32,47.11268333333333,0.0,0.0,0.0,False
2_39_124_22_2018-11-08 18:10:58.162521,86,263.5867399509804,1.0,0.5314907189542485,14.0,True
2_39_124_22_2018-11-09 17:20:50.659768,134,447.2574821127574,0.0,0.0,0.0,False
2_39_124_22_2018-11-10 00:03:55.527932,116,400.3610909098727,1.0,0.3286189583333334,11.0,True
2_39_124_22_2018-11-11 00:04:19.437896,219,1394.751256127451,0.0,0.0,0.0,False
2_39_124_22_2018-11-12 17:31:33.985850,74,207.3471900560224,2.0,0.9748900420168068,17.0,True
2_39_124_22_2018-11-13 17:41:33.012643,50,79.19929173178043,0.0,0.0,0.0,False
2_39_124_22_2018-11-14 17:05:45.183771,128,768.8350821895425,1.0,0.4189996527777778,5.0,True
2_39_124_22_2018-11-15 16:55:54.216752,75,227.240218627451,0.0,0.0,0.0,False
2_39_124_22_2018-11-15 18:48:44.252564,177,1152.7251337965956,0.0,0.0,0.0,False
2_39_124_22_2018-11-16 18:16:17.685371,32,53.274979236694676,0.0,0.0,0.0,False
2_39_124_22_2018-11-16 21:59:28.201960,22,112.86857075163398,1.0,0.6021289583333332,9.0,True
2_39_124_22_2018-11-18 18:14:50.924066,23,41.29840280291604,0.0,0.0,0.0,False
2_39_124_22_2018-11-19 18:04:55.880268,22,37.840277681224,0.0,0.0,0.0,False
2_39_124_22_2018-11-19 20:15:26.046539,131,393.1648369221293,1.0,0.4237533123249301,9.0,True
2_39_124_22_2018-11-20 18:51:38.180943,69,136.84092903375864,2.0,0.6781315536492375,9.0,True
2_39_124_22_2018-11-21 20:17:55.842406,51,160.7378137605042,1.0,2.2540143469887957,24.0,True
2_39_124_22_2018-11-24 15:23:17.804307,18,111.89434903846154,0.0,0.0,0.0,False
2_39_124_22_2018-11-26 16:33:26.499634,216,837.521627054155,1.0,0.5603442075163397,7.0,True
2_39_124_22_2018-11-27 05:24:06.710439,31,54.6570318627451,0.0,0.0,0.0,False
2_39_124_22_2018-11-27 17:31:23.426100,142,256.0544794844861,0.0,0.0,0.0,False
