sessionID,site,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,n_userInputs,kWhRequested_last,requestedDeparture_last,minutesAvailable_last,modifiedAt_last,kWhRequested_first
2_39_89_25_2018-11-30 14:07:06.142742,0002,"Fri, 30 Nov 2018 14:07:06 GMT","Fri, 30 Nov 2018 15:18:02 GMT","Fri, 30 Nov 2018 15:17:54 GMT",4.066,1,8.0,"Fri, 30 Nov 2018 15:04:06 GMT",57.0,"Fri, 30 Nov 2018 14:07:32 GMT",8.0
2_39_139_28_2018-11-30 07:12:39.414534,0002,"Fri, 30 Nov 2018 07:12:39 GMT","Fri, 30 Nov 2018 08:01:00 GMT","Fri, 30 Nov 2018 08:00:55 GMT",5.096,1,20.0,"Fri, 30 Nov 2018 07:56:39 GMT",44.0,"Fri, 30 Nov 2018 07:12:48 GMT",20.0
2_39_79_376_2018-11-30 06:18:34.994098,0002,"Fri, 30 Nov 2018 06:18:35 GMT","Fri, 30 Nov 2018 14:59:17 GMT","Fri, 30 Nov 2018 10:38:19 GMT",29.587,1,40.0,"Fri, 30 Nov 2018 17:52:35 GMT",694.0,"Fri, 30 Nov 2018 06:18:55 GMT",40.0
2_39_89_25_2018-11-30 03:14:31.610839,0002,"Fri, 30 Nov 2018 03:14:32 GMT","Fri, 30 Nov 2018 06:07:39 GMT","Fri, 30 Nov 2018 05:42:49 GMT",8.563,1,12.0,"Fri, 30 Nov 2018 06:03:32 GMT",169.0,"Fri, 30 Nov 2018 03:14:43 GMT",12.0
2_39_131_30_2018-11-30 02:15:53.890837,0002,"Fri, 30 Nov 2018 02:15:54 GMT","Fri, 30 Nov 2018 06:48:12 GMT","Fri, 30 Nov 2018 04:21:47 GMT",13.427,2,15.0,"Fri, 30 Nov 2018 04:48:54 GMT",153.0,"Fri, 30 Nov 2018 02:17:47 GMT",15.0
2_39_127_19_2018-11-29 23:09:31.560525,0002,"Thu, 29 Nov 2018 23:09:32 GMT","Fri, 30 Nov 2018 03:15:30 GMT","Fri, 30 Nov 2018 02:55:23 GMT",13.884,1,14.0,"Fri, 30 Nov 2018 02:09:32 GMT",180.0,"Thu, 29 Nov 2018 23:10:30 GMT",14.0
2_39_79_381_2018-11-29 22:47:53.821609,0002,"Thu, 29 Nov 2018 22:47:54 GMT","Fri, 30 Nov 2018 02:03:28 GMT","Fri, 30 Nov 2018 00:41:45 GMT",8.24,1,9.0,"Fri, 30 Nov 2018 01:59:54 GMT",192.0,"Thu, 29 Nov 2018 22:48:12 GMT",9.0
2_39_123_557_2018-11-29 21:15:08.874252,0002,"Thu, 29 Nov 2018 21:15:09 GMT","Fri, 30 Nov 2018 02:08:08 GMT","Thu, 29 Nov 2018 22:22:55 GMT",4.074,1,20.0,"Fri, 30 Nov 2018 05:44:09 GMT",509.0,"Thu, 29 Nov 2018 21:15:34 GMT",20.0
2_39_89_439_2018-11-29 20:58:01.703294,0002,"Thu, 29 Nov 2018 20:58:02 GMT","Fri, 30 Nov 2018 02:21:10 GMT","Thu, 29 Nov 2018 23:02:52 GMT",6.881,1,9.99,"Fri, 30 Nov 2018 01:03:02 GMT",245.0,"Thu, 29 Nov 2018 20:58:49 GMT",9.99
2_39_95_444_2018-11-29 20:48:35.902800,0002,"Thu, 29 Nov 2018 20:48:36 GMT","Fri, 30 Nov 2018 00:17:28 GMT","Thu, 29 Nov 2018 21:57:09 GMT",1.996,1,5.46,"Fri, 30 Nov 2018 01:03:36 GMT",255.0,"Thu, 29 Nov 2018 20:48:58 GMT",5.46
