hypothesis,interval_start,hour_from_start,p_sched_kw,p_actual_mean_kw,error_kw,abs_error_kw,signed_energy_deviation_kwh,abs_energy_deviation_kwh,unfulfilled_energy_kwh,actual_sample_count
S1_supplementary_timezone,2024-05-29 15:15:00,28.25,0.0,-1.6666666666666667,-1.6666666666666667,1.6666666666666667,-0.4166666666666667,0.4166666666666667,0.0,900
S1_supplementary_timezone,2024-05-29 15:30:00,28.5,0.0,-1.6633333333333333,-1.6633333333333333,1.6633333333333333,-0.41583333333333333,0.41583333333333333,0.0,900
S1_supplementary_timezone,2024-05-29 15:45:00,28.75,0.0,-1.7233333333333334,-1.7233333333333334,1.7233333333333334,-0.43083333333333335,0.43083333333333335,0.0,900
S1_supplementary_timezone,2024-05-29 16:00:00,29.0,0.0,-1.761111111111111,-1.761111111111111,1.761111111111111,-0.44027777777777777,0.44027777777777777,0.0,900
S1_supplementary_timezone,2024-05-29 16:15:00,29.25,0.0,-1.9966666666666666,-1.9966666666666666,1.9966666666666666,-0.49916666666666665,0.49916666666666665,0.0,900
S1_supplementary_timezone,2024-05-29 16:30:00,29.5,0.0,-1.9133333333333333,-1.9133333333333333,1.9133333333333333,-0.47833333333333333,0.47833333333333333,0.0,900
S1_supplementary_timezone,2024-05-29 16:45:00,29.75,0.0,2320.56,2320.56,2320.56,580.14,580.14,0.0,900
S1_supplementary_timezone,2024-05-29 17:00:00,30.0,0.0,2352.431111111111,2352.431111111111,2352.431111111111,588.1077777777778,588.1077777777778,0.0,900
S1_supplementary_timezone,2024-05-29 17:15:00,30.25,0.0,198.57555555555555,198.57555555555555,198.57555555555555,49.64388888888889,49.64388888888889,0.0,900
S1_supplementary_timezone,2024-05-29 17:30:00,30.5,0.0,-0.10444444444444445,-0.10444444444444445,0.10444444444444445,-0.026111111111111113,0.026111111111111113,0.0,900
S1_supplementary_timezone,2024-05-29 17:45:00,30.75,2352.026252736964,-2.048888888888889,-2354.075141625853,2354.075141625853,-588.5187854064633,588.5187854064633,588.5187854064633,900
S1_supplementary_timezone,2024-05-29 18:00:00,31.0,2352.026252736965,2321.3888888888887,-30.637363848076347,30.637363848076347,-7.659340962019087,7.659340962019087,7.659340962019087,900
S1_supplementary_timezone,2024-05-29 18:15:00,31.25,171.30454073144597,27.815555555555555,-143.4889851758904,143.4889851758904,-35.8722462939726,35.8722462939726,35.8722462939726,900
S1_supplementary_timezone,2024-05-29 18:30:00,31.5,0.0,-1.63,-1.63,1.63,-0.4075,0.4075,0.0,900
S1_supplementary_timezone,2024-05-29 18:45:00,31.75,0.0,-1.931111111111111,-1.931111111111111,1.931111111111111,-0.48277777777777775,0.48277777777777775,0.0,900
S1_supplementary_timezone,2024-05-29 19:00:00,32.0,2352.0262527369646,-1.6344444444444444,-2353.660697181409,2353.660697181409,-588.4151742953522,588.4151742953522,588.4151742953522,900
S1_supplementary_timezone,2024-05-29 19:15:00,32.25,0.0,-1.508888888888889,-1.508888888888889,1.508888888888889,-0.37722222222222224,0.37722222222222224,0.0,900
S1_supplementary_timezone,2024-05-29 19:30:00,32.5,0.0,-1.7133333333333334,-1.7133333333333334,1.7133333333333334,-0.42833333333333334,0.42833333333333334,0.0,900
S1_supplementary_timezone,2024-05-29 19:45:00,32.75,0.0,-1.7544444444444445,-1.7544444444444445,1.7544444444444445,-0.4386111111111111,0.4386111111111111,0.0,900
S1_supplementary_timezone,2024-05-29 20:00:00,33.0,0.0,-1.4822222222222223,-1.4822222222222223,1.4822222222222223,-0.3705555555555556,0.3705555555555556,0.0,900
S1_supplementary_timezone,2024-05-29 20:15:00,33.25,0.0,-1.84,-1.84,1.84,-0.46,0.46,0.0,900
S1_supplementary_timezone,2024-05-29 20:30:00,33.5,0.0,-1.8855555555555557,-1.8855555555555557,1.8855555555555557,-0.4713888888888889,0.4713888888888889,0.0,900
S1_supplementary_timezone,2024-05-29 20:45:00,33.75,0.0,-930.2455555555556,-930.2455555555556,930.2455555555556,-232.5613888888889,232.5613888888889,0.0,900
S1_supplementary_timezone,2024-05-29 21:00:00,34.0,0.0,-12.512222222222222,-12.512222222222222,12.512222222222222,-3.1280555555555556,3.1280555555555556,0.0,900
S1_supplementary_timezone,2024-05-29 21:15:00,34.25,0.0,-2.011111111111111,-2.011111111111111,2.011111111111111,-0.5027777777777778,0.5027777777777778,0.0,900
S1_supplementary_timezone,2024-05-29 21:30:00,34.5,0.0,-99.66555555555556,-99.66555555555556,99.66555555555556,-24.91638888888889,24.91638888888889,0.0,900
S1_supplementary_timezone,2024-05-29 21:45:00,34.75,-941.5738700068164,-2488.9144444444446,-1547.3405744376282,1547.3405744376282,-386.83514360940706,386.83514360940706,0.0,900
S1_supplementary_timezone,2024-05-29 22:00:00,35.0,0.0,-34.01222222222222,-34.01222222222222,34.01222222222222,-8.503055555555555,8.503055555555555,0.0,900
S1_supplementary_timezone,2024-05-29 22:15:00,35.25,0.0,-2.07,-2.07,2.07,-0.5175,0.5175,0.0,900
S1_supplementary_timezone,2024-05-29 22:30:00,35.5,-100.0,-1.9388888888888889,98.06111111111112,98.06111111111112,24.51527777777778,24.51527777777778,24.51527777777778,900
S1_supplementary_timezone,2024-05-29 22:45:00,35.75,-2520.0,-99.94,2420.06,2420.06,605.015,605.015,605.015,900
S1_supplementary_timezone,2024-05-29 23:00:00,36.0,0.0,-2488.4555555555557,-2488.4555555555557,2488.4555555555557,-622.1138888888889,622.1138888888889,0.0,900
S1_supplementary_timezone,2024-05-29 23:15:00,36.25,0.0,-131.65333333333334,-131.65333333333334,131.65333333333334,-32.913333333333334,32.913333333333334,0.0,900
S1_supplementary_timezone,2024-05-29 23:30:00,36.5,0.0,-3.3033333333333332,-3.3033333333333332,3.3033333333333332,-0.8258333333333333,0.8258333333333333,0.0,900
S1_supplementary_timezone,2024-05-29 23:45:00,36.75,-99.99999999999908,-1.8511111111111112,98.14888888888797,98.14888888888797,24.537222222221992,24.537222222221992,24.537222222221992,900
S1_supplementary_timezone,2024-05-30 00:00:00,37.0,-2520.0,-2485.7555555555555,34.244444444444525,34.244444444444525,8.561111111111131,8.561111111111131,8.561111111111131,900
S1_supplementary_timezone,2024-05-30 00:15:00,37.25,-99.99999999999908,-34.29888888888889,65.70111111111018,65.70111111111018,16.425277777777545,16.425277777777545,16.425277777777545,900
S1_supplementary_timezone,2024-05-30 00:30:00,37.5,0.0,-1.6211111111111112,-1.6211111111111112,1.6211111111111112,-0.4052777777777778,0.4052777777777778,0.0,900
S1_supplementary_timezone,2024-05-30 00:45:00,37.75,0.0,-1.5733333333333333,-1.5733333333333333,1.5733333333333333,-0.3933333333333333,0.3933333333333333,0.0,900
S1_supplementary_timezone,2024-05-30 01:00:00,38.0,-2520.0,-99.92111111111112,2420.0788888888887,2420.0788888888887,605.0197222222222,605.0197222222222,605.0197222222222,900
