site,station_id,month,field_mode,info_mode,split,cycle_count,session_count
caltech,2-39-130-564,2018-06,measured_no_pilot,M3_current_only,train,9185,22
caltech,2-39-131-30,2018-06,measured_no_pilot,M3_current_only,train,26902,68
caltech,2-39-131-565,2018-06,measured_no_pilot,M3_current_only,train,2251,10
caltech,2-39-138-29,2018-06,measured_no_pilot,M3_current_only,train,15981,61
caltech,2-39-138-566,2018-06,measured_no_pilot,M3_current_only,train,11409,26
caltech,2-39-139-28,2018-06,measured_no_pilot,M3_current_only,train,27863,75
caltech,2-39-139-567,2018-06,measured_no_pilot,M3_current_only,train,7080,15
caltech,2-39-78-360,2018-06,measured_no_pilot,M3_current_only,train,15775,39
caltech,2-39-78-361,2018-06,measured_no_pilot,M3_current_only,train,11350,41
caltech,2-39-78-362,2018-06,measured_no_pilot,M3_current_only,train,10446,34
caltech,2-39-78-363,2018-06,measured_no_pilot,M3_current_only,train,14706,34
caltech,2-39-78-364,2018-06,measured_no_pilot,M3_current_only,train,10650,32
caltech,2-39-78-365,2018-06,measured_no_pilot,M3_current_only,train,17694,44
caltech,2-39-78-366,2018-06,measured_no_pilot,M3_current_only,train,17055,41
caltech,2-39-78-367,2018-06,measured_no_pilot,M3_current_only,train,11600,34
caltech,2-39-79-376,2018-06,measured_no_pilot,M3_current_only,train,17576,34
caltech,2-39-79-377,2018-06,measured_no_pilot,M3_current_only,train,21268,54
caltech,2-39-79-378,2018-06,measured_no_pilot,M3_current_only,train,23060,45
caltech,2-39-79-379,2018-06,measured_no_pilot,M3_current_only,train,33848,45
caltech,2-39-79-380,2018-06,measured_no_pilot,M3_current_only,train,22889,59
caltech,2-39-79-381,2018-06,measured_no_pilot,M3_current_only,train,15690,40
caltech,2-39-79-382,2018-06,measured_no_pilot,M3_current_only,train,16954,38
caltech,2-39-79-383,2018-06,measured_no_pilot,M3_current_only,train,17395,44
caltech,2-39-83-386,2018-06,measured_no_pilot,M3_current_only,train,708,3
caltech,2-39-83-387,2018-06,measured_no_pilot,M3_current_only,train,1745,6
caltech,2-39-88-24,2018-06,measured_no_pilot,M3_current_only,train,11529,46
caltech,2-39-88-438,2018-06,measured_no_pilot,M3_current_only,train,11448,29
caltech,2-39-89-25,2018-06,measured_no_pilot,M3_current_only,train,25723,42
caltech,2-39-89-439,2018-06,measured_no_pilot,M3_current_only,train,9103,25
caltech,2-39-90-26,2018-06,measured_no_pilot,M3_current_only,train,12591,33
caltech,2-39-90-440,2018-06,measured_no_pilot,M3_current_only,train,10145,26
caltech,2-39-91-437,2018-06,measured_no_pilot,M3_current_only,train,19775,47
caltech,2-39-91-441,2018-06,measured_no_pilot,M3_current_only,train,11683,30
caltech,2-39-92-436,2018-06,measured_no_pilot,M3_current_only,train,13743,36
caltech,2-39-92-442,2018-06,measured_no_pilot,M3_current_only,train,11738,33
caltech,2-39-95-27,2018-06,measured_no_pilot,M3_current_only,train,17752,44
caltech,2-39-95-444,2018-06,measured_no_pilot,M3_current_only,train,11568,33
caltech,2-39-123-23,2018-07,measured_no_pilot,M3_current_only,train,21225,58
caltech,2-39-123-557,2018-07,measured_no_pilot,M3_current_only,train,7503,30
