layer,pool,split,field_mode,variable,bucket,bucket_rule_source,n_evaluable,n_e1_events,e1_evidence_rate,n_e3_valid_cycles,n_e3_candidates,e3_candidate_rate,daily_candidate_energy_share,a2_elimination,a3_elimination,direction_vs_reference,interpretation_scope,na_reason
opportunity,jpl,train,current_only,n_active_x_elapsed,4-7|240+,pre_existing_cross,3374,,,3797,1724,0.454043,0.042787,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,train,current_only,n_active_x_elapsed,8-15|<30,pre_existing_cross,959,,,883,662,0.749717,0.055517,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,train,current_only,n_active_x_elapsed,8-15|30-59,pre_existing_cross,282,,,312,213,0.682692,0.042951,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,train,current_only,n_active_x_elapsed,8-15|60-119,pre_existing_cross,319,,,332,225,0.677711,0.044822,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,train,current_only,n_active_x_elapsed,8-15|120-239,pre_existing_cross,903,,,916,609,0.664847,0.042997,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,train,current_only,n_active_x_elapsed,8-15|240+,pre_existing_cross,7379,,,7293,5143,0.705197,0.047581,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,train,current_only,n_active_x_elapsed,16+|<30,pre_existing_cross,989,,,708,534,0.754237,0.033716,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,train,current_only,n_active_x_elapsed,16+|30-59,pre_existing_cross,2158,,,2072,1737,0.83832,0.046212,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,train,current_only,n_active_x_elapsed,16+|60-119,pre_existing_cross,2344,,,2307,1908,0.827048,0.028722,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,train,current_only,n_active_x_elapsed,16+|120-239,pre_existing_cross,4494,,,4435,4074,0.918602,0.04186,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,train,current_only,n_active_x_elapsed,16+|240+,pre_existing_cross,4514,,,4000,3520,0.88,0.047843,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,validation,current_only,n_active,1,pre_existing,4570,,,4511,0,0.0,0.0,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,validation,current_only,n_active,2-3,pre_existing,3016,,,2946,387,0.131365,0.017316,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,validation,current_only,n_active,4-7,pre_existing,1964,,,2048,721,0.352051,0.026909,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,validation,current_only,n_active,8-15,pre_existing,3681,,,3722,2578,0.692638,0.043368,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,validation,current_only,n_active,16+,pre_existing,5048,,,4665,4012,0.860021,0.042061,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,validation,current_only,elapsed,<30,pre_existing,1990,,,1851,448,0.242031,0.022943,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,validation,current_only,elapsed,30-59,pre_existing,1955,,,1954,745,0.381269,0.038768,,,bucket>pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
